Name	Latitude	Longitude	Category	Checkins
Asroria	40.7727541658	-73.8994257579	Neighborhood	21
4over4.com	40.7747644238	-73.8969453607	Design Studio	59
St Francis Of Assisi School	40.7718649778	-73.9004018314	Elementary School	106
Ben Perlow Liquor Co	40.773459	-73.89622	Liquor Store	1
Charmer Industries	40.773459	-73.89622	Wine Bar	2
IWash Laundry	40.7705440281	-73.8934428944	Laundry Service	184
Trade Fair	40.7705247004	-73.8911174518	Supermarket	787
Garden Bay Deli	40.77053	-73.89257	Deli / Bodega	7
MTA Bus - Q69	40.7712460942	-73.8999252785	Bus Line	1436
Chop Sticks Chinese	40.770548	-73.892537	Chinese Restaurant	66
Shah's Newsstand	40.7704890228	-73.8918753769	Newsstand	823
Gyro express	40.7700446318	-73.8963884153	Food	110
Antonio's Pizzeria and Wine Bar!	40.769989	-73.896357	Italian Restaurant	382
Garden Bay Wines & Spirits	40.7702323129	-73.8915193821	Liquor Store	238
Antonio's Kitchen	40.7684756087	-73.8946888609	Pizza Place	1271
11370	40.7682815885	-73.8947290533	Scenic Lookout	1442
Friendly Bakery	40.768311317	-73.8946658939	Bakery	2320
iWash Laundromat	40.7704818399	-73.8935864393	Laundromat	413
Chopsticks	40.7700913284	-73.893339542	Chinese Restaurant	128
Smart Pc Repair	40.77204	-73.893875	None	17
Big Brother House NYC	40.77193083	-73.89413451	Conference Room	1
Astoria Bowl	40.7731806291	-73.8949656487	Bowling Alley	4561
Elmjack Little League	40.7740614104	-73.8908992607	Baseball Field	379
Sanco MP	40.773522	-73.893398	Office	27
Safe Art Transport	40.773286	-73.893574	Building	8
Ps 2 Alfred Zimberg School	40.7699371367	-73.8942295194	Student Center	260
Roma Caterers	40.7704063687	-73.8934027018	Gourmet Shop	80
Alex's  Barber Shop	40.7702888461	-73.8933338002	None	58
Empire Merchants	40.7726840021	-73.8959175943	Office	366
The  Bar	40.7732483452	-73.8949759489	Bar	13
Coba New Satellite Office	40.770551	-73.892947	Coworking Space	1
American Gas	40.7702158836	-73.8914734473	Gas Station	183
Blue Knight Police Equipment / Police Depot	40.773688906	-73.8932132223	Miscellaneous Shop	67
Empire Merchants	40.772494	-73.895448	Building	22
Kesso Foods	40.770586	-73.892227	Greek Restaurant	9
Garden Bay Getty	40.76999	-73.893362	Automotive Shop	56
Q100/Q101 Bus Stop. Towards Queensboro Plaza	40.7735491604	-73.8932017387	Bus Station	49
Carlos R. Lillo Park	40.7701537135	-73.8933797346	Plaza	90
20th Ave Bike Lane	40.772091876	-73.895201683	Other Great Outdoors	4
Correctional Health Services (CHS)	40.774062	-73.89369	Office	4
Western Union	40.773944	-73.89312	Bank	10
Raimonda Park	40.772637808	-73.8975424962	Playground	109
CNT RESCUE TRAINING	40.769977032	-73.8964056405	Medical School	125
Rino Hair Salon	40.7699854244	-73.8965319581	Salon / Barbershop	39
Joe's coffee	40.7698964124	-73.8963137731	Coffee Shop	40
Renoir Cleaners	40.7705140497	-73.8908475838	Laundry Service	7
Sun Brite Laundromat	40.7705351744	-73.8907499719	Laundry Service	279
48st Park	40.7725065612	-73.8972668954	Park	38
Garden Bay Cleaners	40.7704676329	-73.8923576913	Laundry Service	16
His and Hers Unisex	40.768674	-73.894645	Health & Beauty Service	2
Fancy Nails	40.769926	-73.893333	Salon / Barbershop	15
Q-69 Bus	40.76987	-73.893425	Bus Line	47
MTA Q 101 (20th Ave & 49th Street)	40.7723087529	-73.895883144	Bus Station	215
Neptunes	40.7700321247	-73.8934486362	Gas Station	4
Helen's<3	40.7705070122	-73.8915308658	Professional & Other Places	78
Trade Fair	40.7705247004	-73.8911174518	Supermarket	787
LaGuardia Airport (LGA)	40.7716531197	-73.8676929474	Airport	1359068
Rocco's Brick Oven Pizzeria	40.7706862207	-73.8901805878	Pizza Place	350
Elmjack Little League	40.7740614104	-73.8908992607	Baseball Field	379
Avis Car Rental	40.7688628	-73.8876605	Rental Car Location	3252
MTA Bus - Q69	40.7712460942	-73.8999252785	Bus Line	1436
Shah's Newsstand	40.7704890228	-73.8918753769	Newsstand	823
North queens	40.7679535533	-73.8944247397	Building	1721
Terminal A	40.7734733296	-73.8853812417	Airport Terminal	27703
Costa's Bank	40.7713763045	-73.8893776581	Bank	109
Garden Bay Deli	40.77053	-73.89257	Deli / Bodega	7
Gate D1	40.7750818417	-73.8744735718	Airport Gate	1873
Garden Bay Wines & Spirits	40.7702323129	-73.8915193821	Liquor Store	238
The Rooftop	40.7711735418	-73.8898944301	Residential Building (Apartment / Condo)	72
73rd St GCP Overpass	40.768260798	-73.8947290533	Bridge	857
American Gas	40.7702158836	-73.8914734473	Gas Station	183
Friendly Bakery	40.768311317	-73.8946658939	Bakery	2320
Renoir Cleaners	40.7705140497	-73.8908475838	Laundry Service	7
John Jewelry	40.770614	-73.89062	Watch Shop	2
Sun Brite Laundromat	40.7705351744	-73.8907499719	Laundry Service	279
Garden Bay Bbq Block	40.77247	-73.891461	Neighborhood	2
Jackson Heights, NY	40.7553845919	-73.8860607147	Neighborhood	26695
LaGuardia Shopping Center	40.7682814909	-73.8948381467	Shopping Mall	1614
Chop Sticks Chinese	40.770548	-73.892537	Chinese Restaurant	66
11370	40.7682815885	-73.8947290533	Scenic Lookout	1442
Astoria Builders	40.7726593018	-73.8900299072	Conference Room	1
Tommy's Delicious Gourmet	40.7682975568	-73.8946084762	Deli / Bodega	750
Sanco MP	40.773522	-73.893398	Office	27
Antonio's Pizzeria and Wine Bar!	40.769989	-73.896357	Italian Restaurant	382
Hertz	40.768349	-73.887209	Rental Car Location	4302
Barclay Gardens	40.76845	-73.89025	Residential Building (Apartment / Condo)	121
Kesso Foods	40.770586	-73.892227	Greek Restaurant	9
LGA Fuel Farm	40.7724434156	-73.8884646908	Building	468
IWash Laundry	40.7705440281	-73.8934428944	Laundry Service	184
The Black Vatican,  Black Label Society	40.768352177	-73.8947175697	General Entertainment	1146
House Of Guitars	40.7683157699	-73.8947462785	General Entertainment	1590
Gyro express	40.7700446318	-73.8963884153	Food	110
Rikers GRVC	40.7739677885	-73.8903595238	Government Building	85
LGA PA Offices Hangar 7	40.772228019	-73.8862712553	Coworking Space	54
The Grand Concourse	40.769355	-73.889588	None	9
The NEW LGA Employee Parking Lot	40.7750841213	-73.8936266319	Parking	243
Safe Art Transport	40.773286	-73.893574	Building	8
Of Hand & Soul	40.769283	-73.889633	Office	74
Ps 2 Alfred Zimberg School	40.7699371367	-73.8942295194	Student Center	260
Western Union	40.773944	-73.89312	Bank	10
Ana's Dry Cleaning	40.768501	-73.894942	Laundry Service	70
Garden Bay Cleaners	40.7704676329	-73.8923576913	Laundry Service	16
7-Eleven	40.7694807651	-73.8863012381	Convenience Store	32
Yankee Clipper	40.7734517865	-73.8857257636	Diner	905
Antonio's Kitchen	40.7684756087	-73.8946888609	Pizza Place	1271
LaGuardia Airport (LGA)	40.7716531197	-73.8676929474	Airport	1359068
11370	40.7682815885	-73.8947290533	Scenic Lookout	1442
Avis Car Rental	40.7688628	-73.8876605	Rental Car Location	3252
Terminal A	40.7734733296	-73.8853812417	Airport Terminal	27703
LGA PA Offices Hangar 7	40.772228019	-73.8862712553	Coworking Space	54
